,code,begin,end,status,begin_price,end_price,days,p_change
289,000606,2017-12-12,2017-12-15,down,9.4,8.95,3,-4.787
290,000606,2017-12-15,2017-12-17,up,8.95,9.03,2,0.894
84,000611,2016-01-04,2016-03-01,down,10.99,6.8,57,-38.126
85,000611,2016-03-01,2017-07-03,up,6.8,10.54,489,55.0
86,000611,2017-07-03,2017-11-20,down,10.54,6.84,140,-35.104
87,000611,2017-11-20,2017-12-11,up,6.84,8.03,21,17.398
88,000611,2017-12-11,2017-12-13,down,8.03,7.35,2,-8.468
89,000611,2017-12-13,2017-12-15,up,7.35,7.95,2,8.163
90,000611,2017-12-15,2017-12-17,down,7.95,7.85,2,-1.258
494,000638,2016-01-04,2017-05-24,down,30.83,10.34,506,-66.461
495,000638,2017-05-24,2017-06-08,up,10.34,16.81,15,62.573
496,000638,2017-06-08,2017-07-17,down,16.81,11.14,39,-33.73
323,000662,2016-01-04,2016-01-14,down,25.8,14.754,10,-42.814
322,000662,2016-01-14,2016-09-28,up,14.754,27.445,258,86.017
321,000662,2016-09-28,2017-11-21,down,27.445,13.5,419,-50.811
324,000662,2017-11-21,2017-12-11,up,13.5,16.19,20,19.926
325,000662,2017-12-11,2017-12-13,down,16.19,15.18,2,-6.238
326,000662,2017-12-13,2017-12-14,up,15.18,15.73,1,3.623
327,000662,2017-12-14,2017-12-15,down,15.73,15.23,1,-3.179
328,000662,2017-12-15,2017-12-17,up,15.23,15.39,2,1.051
405,000703,2016-01-04,2016-01-14,down,10.999,7.693,10,-30.057
406,000703,2016-01-14,2017-11-29,up,7.693,19.08,685,148.018
407,000703,2017-11-29,2017-12-07,down,19.08,16.54,8,-13.312
408,000703,2017-12-07,2017-12-14,up,16.54,18.83,7,13.845
409,000703,2017-12-14,2017-12-15,down,18.83,18.0,1,-4.408
410,000703,2017-12-15,2017-12-17,up,18.0,18.0,2,0.0
230,000711,2016-03-02,2016-03-03,up,9.518,9.563,1,0.473
229,000711,2016-03-03,2016-03-11,down,9.563,7.733,8,-19.136
231,000711,2016-03-11,2017-05-17,up,7.733,18.28,432,136.389
232,000711,2017-05-17,2017-11-17,down,18.28,11.61,184,-36.488
233,000711,2017-11-17,2017-11-24,up,11.61,13.31,7,14.643
234,000711,2017-11-24,2017-12-13,down,13.31,12.07,19,-9.316
235,000711,2017-12-13,2017-12-14,up,12.07,12.53,1,3.811
236,000711,2017-12-14,2017-12-15,down,12.53,12.33,1,-1.596
237,000711,2017-12-15,2017-12-17,up,12.33,12.4,2,0.568
413,000815,2016-01-04,2016-01-14,down,26.92,17.71,10,-34.212
412,000815,2016-01-14,2016-03-28,up,17.71,27.56,74,55.618
411,000815,2016-03-28,2017-07-18,down,27.56,11.0,477,-60.087
414,000815,2017-07-18,2017-11-01,up,11.0,20.39,106,85.364
415,000815,2017-11-01,2017-12-06,down,20.39,15.55,35,-23.737
416,000815,2017-12-06,2017-12-11,up,15.55,17.35,5,11.576
417,000815,2017-12-11,2017-12-15,down,17.35,16.01,4,-7.723
418,000815,2017-12-15,2017-12-17,up,16.01,16.07,2,0.375
75,000851,2016-01-04,2016-01-14,down,15.818,9.065,10,-42.692
74,000851,2016-01-14,2016-08-17,up,9.065,16.612,216,83.254
73,000851,2016-08-17,2017-06-02,down,16.612,8.071,289,-51.415
76,000851,2017-06-02,2017-10-16,up,8.071,12.19,136,51.035
77,000851,2017-10-16,2017-11-20,down,12.19,8.7,35,-28.63
78,000851,2017-11-20,2017-11-24,up,8.7,10.07,4,15.747
79,000851,2017-11-24,2017-12-06,down,10.07,8.72,12,-13.406
80,000851,2017-12-06,2017-12-11,up,8.72,9.33,5,6.995
81,000851,2017-12-11,2017-12-14,down,9.33,8.99,3,-3.644
82,000851,2017-12-14,2017-12-15,up,8.99,9.14,1,1.669
83,000851,2017-12-15,2017-12-17,down,9.14,9.11,2,-0.328
52,000861,2016-01-04,2017-12-06,down,7.779,3.04,702,-60.92
53,000861,2017-12-06,2017-12-15,up,3.04,3.19,9,4.934
54,000861,2017-12-15,2017-12-17,down,3.19,3.14,2,-1.567
433,000938,2016-01-04,2017-05-11,down,98.303,48.807,493,-50.35
434,000938,2017-05-11,2017-11-22,up,48.807,78.11,195,60.039
435,000938,2017-11-22,2017-12-05,down,78.11,62.27,13,-20.279
436,000938,2017-12-05,2017-12-15,up,62.27,68.93,10,10.695
437,000938,2017-12-15,2017-12-17,down,68.93,66.4,2,-3.67
218,000948,2016-01-04,2017-12-06,down,25.23,9.81,702,-61.118
219,000948,2017-12-06,2017-12-11,up,9.81,10.8,5,10.092
220,000948,2017-12-11,2017-12-12,down,10.8,10.32,1,-4.444
221,000948,2017-12-12,2017-12-15,up,10.32,10.57,3,2.422
222,000948,2017-12-15,2017-12-17,down,10.57,10.49,2,-0.757
208,000997,2016-01-04,2016-01-27,down,25.151,15.039,23,-40.205
209,000997,2016-01-27,2017-09-04,up,15.039,25.3,586,68.229
210,000997,2017-09-04,2017-11-27,down,25.3,17.93,84,-29.13
211,000997,2017-11-27,2017-12-13,up,17.93,19.25,16,7.362
212,000997,2017-12-13,2017-12-14,down,19.25,18.72,1,-2.753
213,000997,2017-12-14,2017-12-15,up,18.72,19.17,1,2.404
214,000997,2017-12-15,2017-12-17,down,19.17,18.91,2,-1.356
103,002024,2016-01-04,2017-04-27,down,13.396,9.834,479,-26.59
104,002024,2017-04-27,2017-10-31,up,9.834,15.05,187,53.04
105,002024,2017-10-31,2017-11-29,down,15.05,11.7,29,-22.259
106,002024,2017-11-29,2017-12-15,up,11.7,12.82,16,9.573
107,002024,2017-12-15,2017-12-17,down,12.82,12.55,2,-2.106
497,002075,2016-01-21,2016-02-15,down,21.21,7.94,25,-62.565
498,002075,2016-02-15,2016-08-17,up,7.94,17.37,184,118.766
499,002075,2016-08-17,2016-09-06,down,17.37,15.09,20,-13.126
500,002075,2016-09-06,2016-09-09,up,15.09,16.88,3,11.862
501,002075,2016-09-09,2016-09-13,down,16.88,15.91,4,-5.746
502,002075,2016-09-13,2016-09-14,up,15.91,16.12,1,1.32
438,002122,2016-01-04,2016-02-29,down,8.322,5.465,56,-34.331
439,002122,2016-02-29,2016-11-04,up,5.465,15.49,249,183.44
440,002122,2016-11-04,2017-12-15,down,15.49,9.41,406,-39.251
441,002122,2017-12-15,2017-12-17,up,9.41,9.43,2,0.213
39,002154,2016-01-04,2017-11-24,down,7.574,3.21,690,-57.618
40,002154,2017-11-24,2017-11-30,up,3.21,3.45,6,7.477
41,002154,2017-11-30,2017-12-05,down,3.45,3.23,5,-6.377
42,002154,2017-12-05,2017-12-11,up,3.23,3.4,6,5.263
43,002154,2017-12-11,2017-12-13,down,3.4,3.29,2,-3.235
44,002154,2017-12-13,2017-12-15,up,3.29,3.36,2,2.128
45,002154,2017-12-15,2017-12-17,down,3.36,3.35,2,-0.298
461,002168,2016-01-04,2016-01-27,down,12.08,7.36,23,-39.073
462,002168,2016-01-27,2016-07-20,up,7.36,17.39,175,136.277
463,002168,2016-07-20,2016-09-27,down,17.39,13.16,69,-24.324
464,002168,2016-09-27,2017-01-09,up,13.16,17.37,104,31.991
465,002168,2017-01-09,2017-01-16,down,17.37,15.25,7,-12.205
466,002168,2017-01-16,2017-01-20,up,15.25,17.0,4,11.475
467,002168,2017-01-20,2017-12-15,down,17.0,15.29,329,-10.059
468,002168,2017-12-15,2017-12-17,up,15.29,15.29,2,0.0
304,002174,2016-02-15,2016-02-16,down,26.763,25.907,1,-3.198
303,002174,2016-02-16,2016-02-23,up,25.907,35.538,7,37.175
302,002174,2016-02-23,2016-03-01,down,35.538,23.582,7,-33.643
301,002174,2016-03-01,2016-04-07,up,23.582,49.787,37,111.123
300,002174,2016-04-07,2017-12-05,down,49.787,20.4,607,-59.025
305,002174,2017-12-05,2017-12-11,up,20.4,23.58,6,15.588
306,002174,2017-12-11,2017-12-15,down,23.58,22.24,4,-5.683
307,002174,2017-12-15,2017-12-17,up,22.24,22.42,2,0.809
61,002230,2016-01-04,2016-01-27,down,36.709,23.201,23,-36.798
62,002230,2016-01-27,2017-11-22,up,23.201,74.76,665,222.227
63,002230,2017-11-22,2017-12-11,down,74.76,60.01,19,-19.73
64,002230,2017-12-11,2017-12-12,up,60.01,63.19,1,5.299
65,002230,2017-12-12,2017-12-14,down,63.19,60.46,2,-4.32
66,002230,2017-12-14,2017-12-15,up,60.46,62.85,1,3.953
67,002230,2017-12-15,2017-12-17,down,62.85,61.2,2,-2.625
68,002261,2016-01-04,2017-12-06,down,19.309,7.3,702,-62.194
69,002261,2017-12-06,2017-12-12,up,7.3,9.35,6,28.082
70,002261,2017-12-12,2017-12-14,down,9.35,8.6,2,-8.021
71,002261,2017-12-14,2017-12-15,up,8.6,9.16,1,6.512
72,002261,2017-12-15,2017-12-17,down,9.16,9.11,2,-0.546
335,002268,2016-01-04,2017-07-18,down,36.06,13.22,561,-63.339
336,002268,2017-07-18,2017-11-08,up,13.22,26.35,113,99.319
337,002268,2017-11-08,2017-11-20,down,26.35,22.0,12,-16.509
338,002268,2017-11-20,2017-12-14,up,22.0,26.1,24,18.636
339,002268,2017-12-14,2017-12-15,down,26.1,24.8,1,-4.981
340,002268,2017-12-15,2017-12-17,up,24.8,25.37,2,2.298
341,002271,2016-01-04,2016-01-27,down,19.466,12.255,23,-37.044
342,002271,2016-01-27,2017-10-17,up,12.255,42.68,629,248.266
343,002271,2017-10-17,2017-11-27,down,42.68,34.52,41,-19.119
344,002271,2017-11-27,2017-12-11,up,34.52,37.83,14,9.589
345,002271,2017-12-11,2017-12-15,down,37.83,35.76,4,-5.472
346,002271,2017-12-15,2017-12-17,up,35.76,35.96,2,0.559
375,002279,2016-01-04,2017-12-06,down,21.143,9.81,702,-53.602
376,002279,2017-12-06,2017-12-14,up,9.81,11.37,8,15.902
377,002279,2017-12-14,2017-12-15,down,11.37,10.85,1,-4.573
378,002279,2017-12-15,2017-12-17,up,10.85,10.98,2,1.198
121,002308,2016-01-04,2017-11-27,down,24.603,11.1,693,-54.884
122,002308,2017-11-27,2017-12-11,up,11.1,12.24,14,10.27
123,002308,2017-12-11,2017-12-14,down,12.24,11.8,3,-3.595
124,002308,2017-12-14,2017-12-15,up,11.8,12.05,1,2.119
125,002308,2017-12-15,2017-12-17,down,12.05,11.95,2,-0.83
397,002316,2016-01-04,2016-02-29,down,20.314,10.821,56,-46.731
398,002316,2016-02-29,2016-04-18,up,10.821,15.937,49,47.278
399,002316,2016-04-18,2017-11-20,down,15.937,11.06,581,-30.602
400,002316,2017-11-20,2017-12-11,up,11.06,12.81,21,15.823
401,002316,2017-12-11,2017-12-13,down,12.81,11.76,2,-8.197
402,002316,2017-12-13,2017-12-14,up,11.76,12.38,1,5.272
403,002316,2017-12-14,2017-12-15,down,12.38,11.9,1,-3.877
404,002316,2017-12-15,2017-12-17,up,11.9,11.97,2,0.588
158,002335,2016-01-04,2016-03-04,down,47.244,28.382,60,-39.925
159,002335,2016-03-04,2016-07-21,up,28.382,51.389,139,81.062
160,002335,2016-07-21,2017-05-11,down,51.389,29.434,294,-42.723
161,002335,2017-05-11,2017-09-11,up,29.434,39.87,123,35.456
162,002335,2017-09-11,2017-11-24,down,39.87,30.8,74,-22.749
163,002335,2017-11-24,2017-12-05,up,30.8,34.5,11,12.013
164,002335,2017-12-05,2017-12-06,down,34.5,30.8,1,-10.725
165,002335,2017-12-06,2017-12-11,up,30.8,33.79,5,9.708
166,002335,2017-12-11,2017-12-15,down,33.79,32.18,4,-4.765
167,002335,2017-12-15,2017-12-17,up,32.18,32.46,2,0.87
358,002340,2016-01-06,2016-02-29,down,5.702,3.308,54,-41.985
