,code,date,p_change
592,600326,2017-07-19,10.03
593,600326,2017-07-13,10.04
594,600326,2017-07-12,10.0
595,601016,2017-08-16,10.11
596,002477,2017-08-08,10.12
597,000796,2017-09-04,10.02
598,000796,2017-07-24,10.02
599,601678,2017-08-02,9.99
600,002797,2017-09-18,10.04
601,002797,2017-08-28,10.0
602,002797,2017-08-02,10.04
603,000633,2017-10-30,9.95
604,000633,2017-10-23,10.0
605,000633,2017-10-11,10.0
606,002195,2017-07-27,10.08
607,000893,2017-10-27,9.95
608,000893,2017-09-15,10.02
609,002620,2017-07-21,10.0
610,000917,2017-11-07,10.03
611,603166,2017-07-19,10.0
612,002446,2017-09-29,10.0
613,002305,2017-09-15,10.05
614,002305,2017-08-11,10.0
615,600751,2017-07-10,9.95
616,600866,2017-08-30,10.04
617,600716,2017-10-23,10.09
618,600584,2017-10-09,10.0
619,603987,2017-10-12,10.02
620,603987,2017-10-10,9.97
621,600354,2017-07-18,10.05
622,000938,2017-11-20,10.0
623,000890,2017-08-04,10.07
624,002315,2017-10-10,9.99
625,002315,2017-10-09,10.0
626,002315,2017-08-25,9.99
627,600509,2017-07-18,9.99
628,002681,2017-08-10,10.02
629,002430,2017-11-08,9.98
630,002430,2017-08-15,10.02
631,002430,2017-08-10,10.02
632,002430,2017-07-26,10.02
633,600284,2017-10-20,10.02
634,600617,2017-11-24,10.05
635,600462,2017-08-29,9.95
636,002128,2017-08-25,10.03
637,002128,2017-08-17,10.02
638,002128,2017-08-16,9.97
639,002128,2017-08-15,10.03
640,002128,2017-08-14,10.0
641,601858,2017-08-24,10.04
642,601858,2017-08-21,10.04
643,000009,2017-07-28,9.99
644,002500,2017-07-19,10.02
645,600496,2017-09-07,10.04
646,600496,2017-09-05,9.92
647,600496,2017-08-21,10.06
648,600835,2017-11-09,10.0
649,600470,2017-07-26,10.03
650,600468,2017-10-31,10.07
651,600468,2017-10-30,10.0
652,002631,2017-11-28,9.97
653,603026,2017-08-01,10.01
654,603069,2017-09-19,10.02
655,603069,2017-07-25,10.05
656,000612,2017-07-19,9.95
657,002019,2017-11-06,9.98
658,600107,2017-07-07,9.99
659,600787,2017-07-14,9.95
660,600782,2017-08-30,9.98
661,603042,2017-09-25,10.01
662,603042,2017-08-30,9.99
663,603042,2017-08-29,10.02
664,603042,2017-08-28,10.01
665,603042,2017-08-25,9.99
666,603042,2017-08-17,10.01
667,603668,2017-08-22,10.01
668,603668,2017-07-03,9.97
669,000833,2017-07-19,9.97
670,002190,2017-09-11,10.0
671,600173,2017-07-20,9.98
672,600071,2017-11-08,10.02
673,600620,2017-07-24,10.01
674,600353,2017-11-30,9.95
675,600353,2017-09-29,10.05
676,600456,2017-09-20,10.01
677,002774,2017-08-25,9.97
678,600167,2017-11-10,10.01
679,002607,2017-11-08,9.91
680,002607,2017-10-10,9.92
681,002607,2017-10-09,10.08
682,600888,2017-07-31,10.01
683,600602,2017-08-03,10.0
684,000682,2017-08-07,10.0
685,000837,2017-07-20,10.07
686,600232,2017-09-13,9.96
687,002695,2017-10-11,9.98
688,002695,2017-07-25,10.03
689,000537,2017-08-25,10.02
690,600650,2017-10-20,10.03
691,603322,2017-11-20,10.0
692,603322,2017-11-15,9.99
693,603322,2017-09-27,10.01
694,603322,2017-08-25,10.01
695,603322,2017-08-03,9.99
696,002534,2017-08-23,9.97
697,002239,2017-11-22,10.05
698,002239,2017-09-13,10.1
699,002239,2017-09-12,9.98
700,002239,2017-09-11,9.97
701,600531,2017-07-19,10.07
702,002552,2017-07-26,10.01
703,002346,2017-11-29,10.0
704,002346,2017-07-25,10.0
705,002006,2017-11-02,9.99
706,603303,2017-08-29,9.99
707,002264,2017-10-19,10.0
708,002264,2017-10-16,10.02
709,002264,2017-10-11,10.03
710,002264,2017-10-10,10.03
711,002264,2017-10-09,10.01
712,002264,2017-09-29,9.99
713,002264,2017-09-28,9.98
